row_id,date,continent_code,country_name,country_code,state_province,population,city_town,distance,latitude,longitude,hazard_type,landslide_type,landslide_size,trigger
7494,2015-09-25,NA,Costa Rica,CR,San José,335007,San José,1.16705,9.9402,-84.0771,Landslide,Landslide,small,Rain
7497,2015-06-29,NA,Panama,PA,Bocas del Toro,22900,Changuinola,5.97977,9.388,-82.4858,Landslide,Landslide,small,Downpour
7498,2015-06-29,NA,Panama,PA,Bocas del Toro,918,Valle del Risco,6.65185,9.2102,-82.3705,Landslide,Landslide,medium,Downpour
7499,2015-12-21,NA,Panama,PA,Bocas del Toro,0,Pueblo Nuevo,3.92621,8.8543,-82.1825,Landslide,Mudslide,small,Rain
7500,2015-05-24,NA,Panama,PA,Bocas del Toro,918,Valle del Risco,5.13913,9.2279,-82.3808,Landslide,Mudslide,medium,Rain
7503,2015-11-23,NA,Panama,PA,Chiriquí,1908,Río Sereno,3.66775,8.7868,-82.8662,Landslide,Landslide,medium,Rain
7504,2015-11-22,NA,Panama,PA,Chiriquí,0,Palmira Centro,0.90169,8.7463,-82.4569,Landslide,Landslide,medium,Rain
7505,2015-08-26,NA,Panama,PA,Chiriquí,0,Breñón,0.37999,8.5772,-82.8232,Landslide,Landslide,medium,Continuous rain
7508,2015-09-17,NA,Panama,PA,Coclé,0,Caballero,0.21605,8.5415,-80.1978,Landslide,Landslide,medium,Flooding
7510,2015-08-31,NA,Panama,PA,Panamá,321501,San Miguelito,3.30848,9.0688,-79.4944,Landslide,Landslide,medium,Downpour
7511,2015-08-31,NA,Panama,PA,Panamá,321501,San Miguelito,3.54386,9.0772,-79.4882,Landslide,Landslide,medium,Downpour
7512,2015-09-22,NA,Panama,PA,Panamá,76815,Arraiján,1.80341,8.9496,-79.6336,Landslide,Landslide,medium,Downpour
7514,2015-05-23,NA,Mexico,MX,Chiapas,3796,Santo Domingo,0.76257,15.0337,-92.1124,Landslide,Landslide,medium,Rain
7515,2015-10-21,NA,Mexico,MX,Chiapas,19092,Motozintla de Mendoza,2.06743,15.3482,-92.2523,Landslide,Landslide,medium,Rain
7516,2015-10-21,NA,Mexico,MX,Chiapas,18608,Emiliano Zapata,4.68443,17.7055,-91.7416,Landslide,Landslide,medium,Rain
7518,2015-10-15,NA,Mexico,MX,Tabasco,32415,Tenosique de Pino Suárez,15.2226,17.4054,-91.2988,Landslide,Landslide,medium,Flooding
7519,2016-02-24,NA,United States,US,Virginia,1371,Springville,8.58443,37.2699,-81.3724,Landslide,Landslide,medium,Unknown
7520,2016-02-24,NA,United States,US,Pennsylvania,5951,Crafton,1.45894,40.4377,-80.083,Landslide,Rockfall,small,Rain
7521,2016-02-15,NA,United States,US,Colorado,9614,Glenwood Springs,13.85194,39.5926,-107.1799,Landslide,Rockfall,medium,Freeze thaw
7522,2016-02-24,NA,United States,US,Virginia,1128,Pembroke,3.21144,37.3444,-80.6203,Landslide,Rockfall,medium,Unknown
7524,2016-02-21,NA,United States,US,West Virginia,51400,Charleston,6.43349,38.3989,-81.585,Landslide,Landslide,medium,Unknown
7526,2016-02-24,NA,Canada,CA,Ontario,519949,Hamilton,2.00473,43.2372,-79.8324,Landslide,Rockfall,small,Freeze thaw
7527,2016-01-28,NA,United States,US,North Carolina,1241,Blowing Rock,4.20387,36.1062,-81.6475,Landslide,Rockfall,medium,Unknown
7528,2016-02-24,NA,United States,US,Ohio,1560,New Haven,6.83465,38.9519,-81.9082,Landslide,Rockfall,small,Rain
7529,2016-02-27,NA,United States,US,Idaho,939,Cascade,22.78728,44.3127,-116.076,Landslide,Rockfall,small,Unknown
7530,2016-02-27,NA,United States,US,Idaho,485,Idaho City,24.16064,44.104,-116.0033,Landslide,Rockfall,small,Rain
7531,2016-02-14,NA,United States,US,Colorado,16887,Durango,22.57467,37.072,-107.8717,Landslide,Rockfall,small,Freeze thaw
7532,2016-02-26,NA,United States,US,Tennessee,2020,Jacksboro,8.43321,36.3833,-84.2508,Landslide,Rockfall,small,Unknown
7533,2016-02-27,NA,United States,US,West Virginia,2184,Bluewell,5.07093,37.3287,-81.3134,Landslide,Rockfall,small,Unknown
7534,2015-11-29,NA,United States,US,North Carolina,1646,Tryon,7.69666,35.2207,-82.3216,Landslide,Mudslide,medium,Unknown
7537,2016-02-22,NA,United States,US,West Virginia,51400,Charleston,6.84721,38.3987,-81.5848,Landslide,Mudslide,small,Unknown
7539,2016-02-23,NA,United States,US,West Virginia,2406,Welch,14.19735,37.4096,-81.4268,Landslide,Landslide,small,Rain
7540,2016-02-26,NA,United States,US,West Virginia,1048,Athens,12.00678,37.5011,-81.1093,Landslide,Rockfall,small,Unknown
